time_bin,avg_speed,total_vehicles,vd_id,year,month,day,hour,weekday,day_of_year,is_weekend,is_weekday,is_holiday,is_pre_holiday,is_month_start,is_month_end,season,season_encoded,is_morning_rush,is_evening_rush,is_noon_rush,is_any_rush,is_night,is_work_hours,rush_intensity,is_rainy_season,is_cold_season,is_school_term,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,dayofyear_sin,dayofyear_cos,avg_speed_lag_1h,total_vehicles_lag_1h,avg_speed_lag_2h,total_vehicles_lag_2h,avg_speed_lag_3h,total_vehicles_lag_3h,avg_speed_lag_6h,total_vehicles_lag_6h,avg_speed_lag_12h,total_vehicles_lag_12h,avg_speed_lag_24h,total_vehicles_lag_24h,avg_speed_ma_3h,total_vehicles_ma_3h,avg_speed_ma_6h,total_vehicles_ma_6h,avg_speed_ma_12h,total_vehicles_ma_12h,avg_speed_ma_24h,total_vehicles_ma_24h,avg_speed_std_6h,avg_speed_std_12h,avg_speed_std_24h,weekend_rush,holiday_rush,rainy_rush,season_rush
2021-04-02 00:00:00,93.08333333333333,35.416666666666664,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,0,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,1,0,0,0,0,1,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,94.33333333333333,61.25,92.58333333333333,73.75,89.75,100.0,83.58333333333333,166.25,84.58333333333333,165.83333333333334,97.0909090909091,29.545454545454547,93.33333333333333,56.80555555555555,90.51388888888887,84.65277777777777,87.40277777777777,138.125,87.6111111111111,124.47916666666667,3.4060471822051452,4.030319643772233,4.13185944580296,0,0,0,0
2021-04-02 01:00:00,96.25,24.166666666666668,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,1,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,1,0,0,0,0,1,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,93.08333333333333,35.416666666666664,94.33333333333333,61.25,92.58333333333333,73.75,85.58333333333333,129.58333333333334,85.25,170.83333333333334,93.25,17.916666666666668,94.55555555555554,40.27777777777778,92.29166666666667,67.08333333333333,88.31944444444444,125.90277777777777,87.7361111111111,124.73958333333333,3.086597371432444,4.692680919128645,4.349514567468969,0,0,0,0
2021-04-02 02:00:00,97.25,15.416666666666666,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,2,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,1,0,0,0,0,1,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,96.25,24.166666666666668,93.08333333333333,35.416666666666664,94.33333333333333,61.25,87.75,107.91666666666667,84.41666666666667,195.0,94.41666666666667,14.583333333333334,95.52777777777779,25.0,93.875,51.666666666666664,89.38888888888887,110.93750000000001,87.85416666666667,124.77430555555556,2.7037782206880676,5.161328294568131,4.571509782426506,0,0,0,0
2021-04-02 03:00:00,92.33333333333333,15.833333333333334,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,3,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,1,0,0,0,0,1,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,97.25,15.416666666666666,96.25,24.166666666666668,93.08333333333333,35.416666666666664,89.75,100.0,85.0,196.66666666666666,92.5,16.666666666666668,95.27777777777777,18.472222222222225,94.30555555555554,37.638888888888886,90.0,95.86805555555556,87.84722222222223,124.73958333333333,2.039653202185529,5.026821997439254,4.564266444934415,0,0,0,0
2021-04-02 04:00:00,93.08333333333333,25.416666666666668,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,4,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,1,0,0,0,0,1,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,92.33333333333333,15.833333333333334,97.25,15.416666666666666,96.25,24.166666666666668,92.58333333333333,73.75,84.75,196.25,89.58333333333333,22.5,94.22222222222221,18.88888888888889,94.38888888888887,29.583333333333332,90.69444444444444,81.63194444444444,87.99305555555556,124.86111111111113,1.9640283621699333,4.806394800308306,4.676679002190869,0,0,0,0
2021-04-02 05:00:00,88.5,44.583333333333336,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,5,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,1,0,0,0,0,1,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,93.08333333333333,25.416666666666668,92.33333333333333,15.833333333333334,97.25,15.416666666666666,94.33333333333333,61.25,82.75,224.58333333333334,88.75,45.833333333333336,91.30555555555554,28.611111111111114,93.41666666666667,26.805555555555554,91.1736111111111,66.63194444444444,87.9826388888889,124.80902777777777,3.1077859214131434,4.189401359885263,4.675197893372,0,0,0,0
2021-04-02 06:00:00,92.0,77.08333333333333,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,6,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,1,0,0,0,0,1,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,88.5,44.583333333333336,93.08333333333333,25.416666666666668,92.33333333333333,15.833333333333334,93.08333333333333,35.416666666666664,83.58333333333333,166.25,90.83333333333333,111.66666666666667,91.19444444444446,49.02777777777777,93.2361111111111,33.74999999999999,91.875,59.20138888888889,88.03125,123.36805555555556,3.1620214467378336,3.440786995952357,4.712047239875808,0,0,0,0
2021-04-02 07:00:00,90.66666666666667,127.08333333333333,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,7,4,92,0,1,1,0,1,0,spring,0,1,0,0,1,0,0,2,0,0,1,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,92.0,77.08333333333333,88.5,44.583333333333336,93.08333333333333,25.416666666666668,96.25,24.166666666666668,85.58333333333333,129.58333333333334,85.83333333333333,210.41666666666666,90.3888888888889,82.91666666666667,92.30555555555554,50.90277777777777,92.2986111111111,58.99305555555555,88.2326388888889,119.89583333333333,2.9091172136858394,2.8596059834304164,4.717309269398835,0,1,0,0
2021-04-02 08:00:00,88.0,148.75,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,8,4,92,0,1,1,0,1,0,spring,0,1,0,0,1,0,0,2,0,0,1,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,90.66666666666667,127.08333333333333,92.0,77.08333333333333,88.5,44.583333333333336,97.25,15.416666666666666,87.75,107.91666666666667,86.75,177.5,90.22222222222223,117.63888888888887,90.76388888888887,73.125,92.31944444444444,62.395833333333336,88.28472222222223,118.69791666666667,2.10450354838982,2.824145828971889,4.707117430960975,0,1,0,0
2021-04-02 09:00:00,85.16666666666667,165.41666666666666,國道1號_北向_五甲系統交流道_瑞隆路交流道,2021,4,2,9,4,92,0,1,1,0,1,0,spring,0,0,0,0,0,0,1,0,0,0,1,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,0.9999166586547379,-0.01291029607500882,88.0,148.75,90.66666666666667,127.08333333333333,92.0,77.08333333333333,92.33333333333333,15.833333333333334,89.75,100.0,81.25,186.25,87.94444444444446,147.08333333333334,89.56944444444444,98.05555555555554,91.9375,67.84722222222221,88.44791666666667,117.8298611111111,2.913768401279751,3.444935713581132,4.516663491362054,0,0,0,0
