iter	Passed	Remaining
205	214	828
206	216	827
207	217	826
208	218	825
209	219	825
210	220	824
211	221	823
212	222	822
213	223	820
214	224	819
215	225	819
216	226	818
217	227	816
218	228	815
219	229	814
220	230	812
221	231	811
222	232	811
223	233	809
224	234	809
225	235	807
226	236	806
227	237	805
228	239	804
229	240	804
230	241	802
231	242	801
232	242	799
233	243	798
234	245	798
235	246	796
236	247	795
237	248	795
238	249	794
239	250	792
240	251	790
241	252	789
242	253	788
243	254	788
244	255	786
245	256	785
246	257	784
247	258	783
248	259	782
249	260	781
250	261	780
251	262	779
252	263	778
253	264	777
254	265	776
255	266	775
256	268	775
257	269	774
258	270	773
259	271	773
260	272	772
261	274	772
262	275	772
263	276	771
264	278	771
265	279	771
266	280	771
267	282	770
268	283	770
269	284	770
270	286	770
271	287	769
272	288	769
273	290	768
274	291	768
275	292	767
276	293	766
277	294	765
278	296	765
279	297	764
280	298	764
281	299	763
282	301	762
283	302	761
284	303	760
285	304	759
286	305	758
287	306	757
288	307	756
289	308	755
290	309	754
291	311	754
292	312	753
293	313	752
294	314	751
295	315	751
296	317	750
297	318	749
298	319	748
299	320	747
300	321	745
301	322	744
302	323	743
303	324	742
304	325	741
305	326	739
306	328	740
307	329	739
308	330	738
309	331	737
310	332	736
311	333	735
312	334	734
313	335	733
314	336	732
315	337	730
316	338	729
317	339	728
318	340	727
319	341	726
320	342	725
321	343	724
322	345	723
323	346	722
324	346	720
325	347	719
326	348	718
327	349	716
328	351	715
329	352	714
330	353	713
331	354	712
332	355	711
333	356	709
334	357	708
335	358	707
336	359	706
337	360	705
338	361	703
339	361	702
340	362	700
341	363	699
342	364	698
343	365	697
344	367	696
345	367	695
346	369	694
347	370	693
348	371	692
349	372	690
350	372	689
351	373	688
352	374	687
353	375	685
354	376	684
355	377	683
356	378	682
357	379	681
358	380	679
359	381	678
360	382	677
361	383	676
362	385	675
363	386	674
364	387	673
365	388	672
366	389	671
367	390	670
368	391	669
369	392	668
370	393	666
371	394	665
372	395	665
373	396	664
374	398	663
375	399	662
376	400	661
377	401	660
378	402	659
379	403	658
380	404	657
381	406	656
382	407	655
383	408	654
384	409	653
385	410	652
386	411	651
387	412	650
388	413	649
389	414	648
390	415	647
391	416	646
392	417	645
393	418	644
394	419	642
395	420	641
396	421	640
397	422	639
398	423	638
399	424	637
400	425	635
401	426	635
402	427	633
403	429	633
404	430	631
405	431	630
406	431	629
407	432	627
408	434	627
409	436	627
410	438	628
411	440	628
412	442	628
413	444	628
414	446	628
415	448	629
416	450	629
417	452	629
418	454	629
419	456	629
420	458	630
421	460	630
422	462	630
423	464	630
424	466	630
425	468	630
426	469	630
427	471	630
428	473	630
429	476	631
430	478	631
431	480	631
432	481	631
433	483	630
434	485	631
435	487	631
436	489	630
437	491	630
438	493	631
439	495	630
440	497	630
441	499	630
442	501	630
443	503	630
444	505	630
445	507	630
446	509	630
447	511	630
448	512	629
449	514	629
450	516	629
451	518	628
452	520	628
453	521	627
454	523	626
455	525	626
456	527	626
457	528	625
458	530	625
459	532	625
460	534	624
461	535	623
462	537	623
463	539	623
464	541	622
465	543	622
466	545	622
467	547	622
468	549	622
469	551	621
470	553	621
471	554	620
472	556	619
473	558	619
474	559	618
475	561	617
476	562	617
477	564	616
478	567	616
479	568	616
480	570	615
481	572	615
482	574	615
483	576	614
484	578	614
485	580	613
486	582	613
487	584	612
488	586	612
489	587	611
490	589	611
491	591	611
492	592	609
493	594	609
494	596	608
495	598	607
496	600	607
497	602	606
498	603	606
499	605	605
500	607	604
501	608	603
502	610	603
503	612	602
504	613	601
505	615	600
506	617	600
507	619	599
508	620	598
509	621	597
510	624	597
511	625	596
512	627	595
513	629	594
514	630	594
515	632	593
516	634	592
517	636	592
518	638	591
519	640	590
520	642	590
521	644	589
522	645	589
523	647	588
524	649	587
525	651	587
526	653	586
527	655	585
528	657	585
529	659	584
530	660	583
531	662	582
532	664	581
533	666	581
534	667	580
535	669	579
536	671	579
537	673	578
538	674	577
539	677	576
540	679	576
541	680	575
542	682	574
543	684	573
544	685	572
545	687	571
546	689	571
547	691	570
548	693	569
549	694	568
550	696	567
551	698	566
552	700	566
553	702	565
554	704	565
555	706	564
556	708	563
557	710	562
558	712	561
559	714	561
560	716	560
561	717	559
562	719	558
563	721	557
564	723	556
565	724	555
566	726	554
567	728	554
568	730	553
569	731	552
570	733	551
571	735	550
572	737	549
573	739	548
574	741	548
575	743	547
576	744	546
577	746	545
578	748	544
579	750	543
580	752	542
581	755	542
582	757	541
583	758	540
584	760	539
585	763	539
586	764	538
587	766	537
588	768	536
589	770	535
590	772	534
591	774	533
592	776	532
593	778	531
594	779	530
595	782	530
596	783	528
597	785	527
598	787	527
599	788	525
600	790	524
601	792	523
602	794	522
603	795	521
604	796	520
605	798	519
606	800	518
607	802	517
608	803	516
609	805	515
610	807	514
611	809	512
612	810	511
613	812	510
614	814	509
615	815	508
616	817	507
617	818	506
618	820	505
619	822	503
620	823	502
621	825	501
622	827	500
623	828	499
624	830	498
625	832	497
626	834	496
627	835	494
628	836	493
629	838	492
630	840	491
631	842	490
632	844	489
633	846	488
634	848	487
635	850	486
636	851	485
637	853	484
638	855	483
639	857	482
640	859	481
641	861	480
642	863	479
643	865	478
644	867	477
645	869	476
646	871	475
647	872	474
648	874	472
649	876	471
650	878	470
651	880	469
652	881	468
653	883	467
654	885	466
655	887	465
656	889	464
657	891	463
658	893	462
659	894	460
660	896	459
661	899	459
662	900	457
663	902	456
664	904	455
665	905	454
666	907	453
667	909	452
668	911	450
669	912	449
670	914	448
671	916	447
672	918	446
673	920	445
674	922	444
675	925	443
676	926	442
677	928	441
678	930	440
679	932	438
680	934	437
681	936	436
682	938	435
683	940	434
684	942	433
685	944	432
686	946	431
687	947	429
688	949	428
689	951	427
690	953	426
691	954	424
692	956	423
693	958	422
694	960	421
695	962	420
696	964	419
697	966	418
698	967	416
699	969	415
700	971	414
701	973	413
702	975	412
703	977	411
704	979	409
705	981	408
706	983	407
707	985	406
708	986	404
709	988	403
710	990	402
711	992	401
712	993	399
713	995	398
714	997	397
715	999	396
716	1001	395
717	1003	394
718	1004	392
719	1006	391
720	1008	390
721	1010	389
722	1012	387
723	1014	386
724	1016	385
725	1017	384
726	1019	382
727	1021	381
728	1023	380
729	1025	379
730	1026	377
731	1028	376
732	1030	375
733	1032	374
734	1034	372
735	1036	371
736	1038	370
737	1039	369
738	1041	367
739	1043	366
740	1044	365
741	1046	363
742	1048	362
743	1050	361
744	1052	360
745	1054	358
746	1056	357
747	1057	356
748	1059	355
749	1062	354
750	1063	352
751	1065	351
752	1067	350
753	1069	348
754	1070	347
755	1072	346
756	1074	344
757	1076	343
758	1077	342
759	1079	340
760	1081	339
761	1083	338
762	1084	336
763	1086	335
764	1088	334
765	1090	332
766	1091	331
767	1093	330
768	1095	328
769	1096	327
770	1098	326
771	1100	325
772	1102	323
773	1103	322
774	1105	320
775	1107	319
776	1109	318
777	1111	317
778	1112	315
779	1114	314
780	1116	313
781	1118	311
782	1119	310
783	1121	309
784	1123	307
785	1125	306
786	1127	305
787	1129	303
788	1130	302
789	1132	301
790	1134	299
791	1136	298
792	1137	297
793	1139	295
794	1141	294
795	1142	292
796	1144	291
797	1146	290
798	1148	288
799	1150	287
800	1151	286
801	1153	284
802	1155	283
803	1157	282
804	1159	280
805	1161	279
806	1162	278
807	1164	276
808	1166	275
809	1168	274
810	1169	272
811	1171	271
812	1173	269
813	1175	268
814	1177	267
815	1178	265
816	1180	264
817	1181	262
818	1183	261
819	1185	260
820	1186	258
821	1188	257
822	1189	255
823	1191	254
824	1193	253
825	1195	251
826	1197	250
827	1200	249
828	1201	247
829	1204	246
830	1206	245
831	1208	243
832	1209	242
833	1211	241
834	1213	239
835	1215	238
836	1217	237
837	1219	235
838	1220	234
839	1222	232
840	1224	231
841	1225	230
842	1227	228
843	1228	227
844	1230	225
845	1232	224
846	1233	222
847	1235	221
848	1237	220
849	1239	218
850	1241	217
851	1242	215
852	1244	214
853	1246	213
854	1248	211
855	1250	210
856	1252	208
857	1253	207
858	1255	206
859	1257	204
860	1259	203
861	1260	201
862	1262	200
863	1264	198
864	1266	197
865	1268	196
866	1270	194
867	1272	193
868	1274	192
869	1275	190
870	1277	189
871	1279	187
872	1281	186
873	1283	185
874	1285	183
875	1287	182
876	1289	180
877	1291	179
878	1293	178
879	1295	176
880	1297	175
881	1299	173
882	1301	172
883	1303	170
884	1305	169
885	1307	168
886	1309	166
887	1311	165
888	1313	163
889	1315	162
890	1317	161
891	1318	159
892	1319	158
893	1321	156
894	1323	155
895	1325	153
896	1326	152
897	1328	150
898	1330	149
899	1332	148
900	1334	146
901	1336	145
902	1337	143
903	1339	142
904	1341	140
905	1343	139
906	1345	137
907	1346	136
908	1348	135
909	1350	133
910	1351	132
911	1353	130
912	1355	129
913	1357	127
914	1359	126
915	1361	124
916	1363	123
917	1364	121
918	1366	120
919	1367	118
920	1369	117
921	1371	115
922	1372	114
923	1374	113
924	1376	111
925	1377	110
926	1379	108
927	1381	107
928	1383	105
929	1385	104
930	1387	102
931	1389	101
932	1391	99
933	1393	98
934	1395	97
935	1397	95
936	1398	94
937	1400	92
938	1402	91
939	1404	89
940	1406	88
941	1408	86
942	1410	85
943	1411	83
944	1413	82
945	1415	80
946	1417	79
947	1419	77
948	1421	76
949	1423	74
950	1425	73
951	1427	71
952	1429	70
953	1430	68
954	1433	67
955	1434	66
956	1436	64
957	1439	63
958	1441	61
959	1443	60
960	1445	58
961	1447	57
962	1448	55
963	1450	54
964	1452	52
965	1454	51
966	1456	49
967	1458	48
968	1460	46
969	1462	45
970	1463	43
971	1465	42
972	1467	40
973	1468	39
974	1470	37
975	1472	36
976	1474	34
977	1476	33
978	1477	31
979	1479	30
980	1481	28
981	1482	27
982	1484	25
983	1486	24
984	1487	22
985	1489	21
986	1491	19
987	1493	18
988	1495	16
989	1496	15
990	1498	13
991	1500	12
992	1502	10
993	1504	9
994	1506	7
995	1508	6
996	1510	4
997	1512	3
998	1514	1
999	1516	0
