iter	Logloss
0	0.6875959212
1	0.6831801015
2	0.6770842768
3	0.6698046038
4	0.6634381202
5	0.6576891253
6	0.6521010245
7	0.6454959992
8	0.6400370444
9	0.6350694472
10	0.6283363835
11	0.6226705736
12	0.6159807021
13	0.6116806769
14	0.6064868435
15	0.600807313
16	0.5954706746
17	0.5914144824
18	0.5869266756
19	0.5828585471
20	0.5782654055
21	0.5738334656
22	0.5692620431
23	0.5659008641
24	0.5613293802
25	0.5583842493
26	0.5545317127
27	0.5510369578
28	0.5464190206
29	0.5436635171
30	0.5395751461
31	0.5361673909
32	0.5329935628
33	0.5297627603
34	0.5276242533
35	0.5249977112
36	0.5228233953
37	0.5204820941
38	0.5181910607
39	0.5161492132
40	0.5138711622
41	0.5115116796
42	0.5093907079
43	0.5063843266
44	0.5031491864
45	0.4997013461
46	0.4974135737
47	0.4955439414
48	0.4927635501
49	0.4900034012
50	0.4867852734
51	0.4843173488
52	0.4825385617
53	0.4803876569
54	0.4777908325
55	0.4751896397
56	0.4733664297
57	0.471748229
58	0.4695109706
59	0.4673530825
60	0.4647270326
61	0.4622365582
62	0.4594469993
63	0.457410474
64	0.4557597868
65	0.4534272225
66	0.4509347177
67	0.4482514781
68	0.446702711
69	0.4445145207
70	0.4427317342
71	0.4406855491
72	0.4389827175
73	0.4383962693
74	0.4368957396
75	0.4359327747
76	0.4341364214
77	0.4329477126
78	0.430851844
79	0.4295382961
80	0.4278875166
81	0.4261034381
82	0.4244199568
83	0.4233744837
84	0.4219006262
85	0.420651159
86	0.4186649938
87	0.4173941151
88	0.416116653
89	0.4147731412
90	0.41362704
91	0.4121553359
92	0.4109413701
93	0.4093927876
94	0.4079934397
95	0.4064048644
96	0.4049269461
97	0.4037440515
98	0.4018668206
99	0.4004620583
100	0.3990299471
101	0.3978965821
102	0.3963394165
103	0.3955373456
104	0.3941745143
105	0.3926248858
106	0.3911923439
107	0.3905080365
108	0.3892590307
109	0.3885546038
110	0.3872820946
111	0.3861973363
112	0.38515174
113	0.3841953893
114	0.3834442323
115	0.3824346604
116	0.3817146363
117	0.3804662151
118	0.379246158
119	0.3781957934
120	0.3773630819
121	0.3767999218
122	0.3760217236
123	0.3751864587
124	0.3744448385
125	0.3735588443
126	0.3728163935
127	0.3724003453
128	0.3715294561
