Model,Accuracy,F1-score,Precision,Recall
XGBoost,0.8478260869565217,0.8703703703703703,0.8623853211009175,0.8785046728971962
KNN,0.8478260869565217,0.8640776699029126,0.898989898989899,0.8317757009345794
CatBoost,0.8206521739130435,0.8405797101449275,0.87,0.8130841121495327
